Region,Country,Chinese Name,Capital,Area (sq km),Population
歐洲,Russian Federation,俄羅斯,Moscow,17098242,140820810
歐洲,Albania,阿爾巴尼亞,Tirana (Tirane),28748,3107100
歐洲,Andorra,安道爾,Andorra la Vella,468,85370
歐洲,Austria,奧地利,Vienna,83871,8967982
歐洲,Belarus,白俄羅斯,Minsk,207600,9501451
歐洲,Belgium,比利時,Brussels,30528,11977634
歐洲,Bosnia and Herzegovina,波士尼亞與赫塞哥維納,Sarajevo,51197,3798671
歐洲,Bulgaria,保加利亞,Sofia,110879,6782659
歐洲,Croatia,克羅埃西亞,Zagreb,56594,4150116
歐洲,Czechia,捷克,Prague,78867,10837890
歐洲,Denmark,丹麥,Copenhagen,43094,5973136
歐洲,Estonia,愛沙尼亞,Tallinn,45228,1193791
歐洲,Finland,芬蘭,Helsinki,338145,5626414
歐洲,France,法國,Paris,643801,68374591
歐洲,Germany,德國,Berlin,357022,84119100
歐洲,Greece,希臘,Athens,131957,10461091
歐洲,Holy See (Vatican City),梵蒂岡,Vatican City,0,1000
歐洲,Hungary,匈牙利,Budapest,93028,9855745
歐洲,Iceland,冰島,Reykjavik,103000,364036
歐洲,Ireland,愛爾蘭,Dublin,70273,5233461
歐洲,Italy,義大利,Rome,301340,60964931
歐洲,Kosovo,科索沃,"Pristina (Prishtine, Prishtina)",10887,1977093
歐洲,Latvia,拉脫維亞,Riga,64589,1801246
歐洲,Liechtenstein,列支敦斯登,Vaduz,160,40272
歐洲,Lithuania,立陶宛,Vilnius,65300,2628186
歐洲,Luxembourg,盧森堡,Luxembourg,2586,671254
歐洲,Malta,馬爾他,Valletta,316,469730
歐洲,Moldova,摩爾多瓦,Chisinau in Romanian (Kishinev in Russian),33851,3599528
歐洲,Monaco,摩納哥,Monaco,2,31813
歐洲,Montenegro,蒙特內哥羅,"Podgorica; note - Cetinje retains the status of ""Old Royal Capital""",13812,599849
歐洲,Netherlands,荷蘭,Amsterdam; note - The Hague is the seat of government,41543,17772378
歐洲,North Macedonia,北馬其頓,Skopje,25713,2135622
歐洲,Norway,挪威,Oslo,323802,5509733
歐洲,Poland,波蘭,Warsaw,312685,38746310
歐洲,Portugal,葡萄牙,Lisbon,92090,10207177
歐洲,Romania,羅馬尼亞,Bucharest,238391,18148155
歐洲,San Marino,聖馬利諾,San Marino (city),61,35095
歐洲,Serbia,塞爾維亞,Belgrade (Beograd),77474,6652212
歐洲,Slovak Republic,斯洛伐克,Bratislava,49035,5563649
歐洲,Slovenia,斯洛維尼亞,Ljubljana,20273,2097893
歐洲,Spain,西班牙,Madrid,505370,47280433
歐洲,Sweden,瑞典,Stockholm,450295,10589835
歐洲,Switzerland,瑞士,Bern,41277,8860574
歐洲,Ukraine,烏克蘭,Kyiv (Kiev is the transliteration from Russian),603550,35661826
歐洲,United Kingdom,英國,London,243610,68459055
南亞,Bangladesh,孟加拉,Dhaka,148460,168697184
南亞,Bhutan,不丹,Thimphu,38394,884546
南亞,India,印度,New Delhi,3287263,1409128296
南亞,Maldives,馬爾地夫,Male,298,388858
南亞,Nepal,尼泊爾,Kathmandu,147181,31122387
南亞,Pakistan,巴基斯坦,Islamabad,796095,252363571
南亞,Sri Lanka,斯里蘭卡,Colombo (commercial capital); Sri Jayewardenepura Kotte (legislative capital),65610,21982608
東南亞,Brunei Darussalam,汶萊,Bandar Seri Begawan,5765,491900
東南亞,Myanmar,緬甸,"Rangoon (aka Yangon, continues to be recognized as the primary Burmese capital by the US Government); Nay Pyi Taw is the administrative capital",676578,57527139
東南亞,Cambodia,柬埔寨,Phnom Penh,181035,17063669
東南亞,Indonesia,印尼,"Jakarta; note - Indonesian lawmakers on 18 January 2022 approved the relocation of the country’s capital from Jakarta to a site on the island of Borneo between Samarinda City and the port city of Balikpapan; Nusantara (""archipelago""), the name of the new capital, is expected to be established in August 2024",1904569,281562465
東南亞,Lao PDR,寮國,Vientiane (Viangchan),236800,7953556
東南亞,Malaysia,馬來西亞,Kuala Lumpur; note - nearby Putrajaya is referred to as a federal government administrative center but not the capital; Parliament meets in Kuala Lumpur,329847,34564810
東南亞,Philippines,菲律賓,Manila,300000,118277063
東南亞,Singapore,新加坡,Singapore,719,6028459
東南亞,Thailand,泰國,Bangkok,513120,69920998
東南亞,Timor-Leste,東帝汶,Dili,14874,1506909
東南亞,Viet Nam,越南,Hanoi (Ha Noi),331210,105758975
東亞,China,中國,Beijing,9596960,1416043270
東亞,"Hong Kong SAR, China",香港,,1108,7297821
東亞,Japan,日本,Tokyo,377915,123201945
東亞,"Korea, Dem. People's Rep.",朝鮮,Pyongyang,120538,26298666
東亞,"Korea, Rep.",韓國,"Seoul; note - Sejong, located some 120 km (75 mi) south of Seoul, serves as an administrative capital for segments of the South Korean Government",99720,52081799
東亞,"Macao SAR, China",澳門,,28,644426
東亞,Mongolia,蒙古,Ulaanbaatar,1564116,3281676
東亞,Taiwan,臺灣,Taipei,35980,23595274
