country,Age dependency ratio (% of working-age population),"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)",GDP (current US$),GDP growth (annual %),GDP per capita (current US$),GNI per capita (current US$),Merchandise exports (current US$),Merchandise imports (current US$),Urban population (% of total)
Russian Federation,50.3808692284498,8.9,12.9,2266029240645.34,-2.06971152527731,15445.2421875,12810.0,592063000000.0,276511000000.0,75.126
Albania,48.8135106508936,10.116,11.194,18916378860.5488,4.85640165227306,6810.11404104233,6770.0,4309000000.0,8399000000.0,63.799
Andorra,38.4319234170959,6.2,4.6,3380602042.84283,9.56379752740844,42350.6970690874,50080.0,386000000.0,1864000000.0,87.811
Austria,51.9413337482858,9.1,10.3,470941926750.741,4.80643020178459,52084.6811953372,55720.0,211929000000.0,233519000000.0,59.256
Belarus,51.424011583488,9.165,15.49,73775179924.603,-4.65824489149375,7994.64806074889,7230.0,38220000000.0,38311000000.0,80.326
Belgium,56.8940153628632,9.8,10.0,583613982019.263,3.01472197492703,49942.0906424887,53890.0,637673000000.0,618868000000.0,98.153
Bosnia and Herzegovina,49.8555447727785,8.278,15.865,24534663636.1778,4.22681101095546,7587.58817346075,7650.0,9674000000.0,15377000000.0,49.841
Bulgaria,57.1679418188324,8.8,18.4,90346169914.9349,3.92643222124569,13974.4492487792,13350.0,49925000000.0,57959000000.0,76.363
Croatia,57.3302462838704,8.8,14.8,71997070660.4835,7.02722588804099,18673.1779905036,19650.0,25467000000.0,44623000000.0,58.219
Czechia,57.7185856854527,9.5,11.3,290565654835.809,2.35100353961535,27226.6156386023,26140.0,242015000000.0,236663000000.0,74.377
Denmark,57.5961382640716,9.9,10.1,400167196948.707,2.73117445421431,67790.0539923276,73520.0,131793000000.0,128340000000.0,88.367
Estonia,58.6934065597918,8.6,12.8,37921480881.5429,-0.461002668410416,28114.1431760201,27200.0,22381000000.0,26321000000.0,69.609
Finland,62.4631825860101,8.1,11.4,281887430795.721,1.33546730512326,50734.7107480889,54730.0,86069000000.0,97329000000.0,85.681
France,63.5521479466553,10.6,9.8,2779092236505.85,2.45475817660707,40886.2532680273,45290.0,620461000000.0,823216000000.0,81.509
Germany,57.1620358734536,8.8,12.7,4082469490797.68,1.80620896724351,48717.9911402128,54030.0,1675847000000.0,1582595000000.0,77.648
Greece,57.9561073382831,7.3,13.4,217581324512.059,5.55728707963308,20867.2690861087,21810.0,57529000000.0,98005000000.0,80.357
Holy See (Vatican City),,,,,,,,,,
Hungary,52.5603930004507,9.3,14.2,177006128624.627,4.58340767295068,18355.8278072065,19050.0,151672000000.0,165136000000.0,72.552
Iceland,51.0830831780987,11.5,7.0,28701830401.6837,8.88130774528271,75135.0916136358,73930.0,7389000000.0,9591000000.0,93.992
Ireland,53.1872620066657,11.2,6.9,533140011838.276,9.43302211023355,103983.29133582,79730.0,214156000000.0,147269000000.0,64.183
Italy,57.4402200279287,6.7,12.1,2066972096553.7,3.98589744251659,35068.8359738449,38370.0,658557000000.0,694305000000.0,71.657
Kosovo,46.0326178527654,11.068,5.709,9354903061.8898,4.27849850808495,5290.97739696474,5600.0,,,
Latvia,59.7859355817267,8.5,16.4,40422521943.4418,2.95473177143623,21508.4003332167,21970.0,24100000000.0,29501000000.0,68.54
Liechtenstein,51.1220411927452,9.2,7.1,7364654515.13984,,187267.132380803,,,,14.538
Lithuania,56.5432035974158,7.8,15.1,71013953448.2085,2.44017546498974,25078.7453655669,23860.0,46485000000.0,55095000000.0,68.465
Luxembourg,44.5681575696938,9.9,6.8,81641807865.7591,1.38018589083207,125006.021815486,89200.0,17313000000.0,27208000000.0,91.881
Malta,47.6610024354711,8.1,8.0,18357069272.7682,8.07553911825327,34563.3966270232,33330.0,3253000000.0,8519000000.0,94.875
Moldova,47.7000243753029,12.148,16.609,14510490660.2516,-5.01548231924089,5715.28022054154,5500.0,4332000000.0,9219000000.0,43.173
Monaco,95.8908524466885,,,8784002931.68665,11.0968262747971,240862.18244774,,,,100.0
Montenegro,53.0114508263981,11.4,11.5,6229801580.79157,6.40668032879275,10093.4387007266,10480.0,742000000.0,3704000000.0,68.164
Netherlands,55.6169549069062,9.5,9.6,1009398719033.08,4.32891831787197,57025.01245598,60230.0,964764000000.0,897485000000.0,92.886
North Macedonia,44.7566843926652,9.9,12.3,13711469681.1535,2.22170527084103,7485.6034579418,7500.0,8727000000.0,12755000000.0,59.118
Norway,54.1847891500737,9.4,8.4,593726965415.619,3.00563516076298,108798.451165901,96770.0,249805000000.0,105545000000.0,83.664
Poland,50.8411102394622,8.3,12.2,689763329458.441,5.63756676578897,18732.4977273198,18960.0,360542000000.0,381187000000.0,60.134
Portugal,56.4445411626159,8.0,11.9,255196659934.378,6.82751087594069,24515.2657495716,25950.0,82463000000.0,115080000000.0,67.381
Romania,52.8140370301283,9.6,14.3,298891515898.026,4.10702720241547,15692.3071700143,15490.0,96699000000.0,132468000000.0,54.489
San Marino,49.6997998665777,6.1,7.8,,,,,,,97.732
Serbia,53.8316953654399,9.3,16.2,63563410720.7093,2.54995557013696,9537.68431879504,9300.0,29058000000.0,41148000000.0,56.873
Slovak Republic,48.6261981005511,9.7,11.0,115584743573.553,1.87003619871018,21279.4589247729,22080.0,108386000000.0,112466000000.0,53.909
Slovenia,56.4350642039832,8.3,10.6,60063475466.3446,2.46078331366104,28439.3340989687,29590.0,69716000000.0,69761000000.0,55.751
Spain,51.6597126567509,6.9,9.7,1417800466262.65,5.77064767618052,29674.5442864413,32090.0,415462000000.0,494259000000.0,81.304
Sweden,60.8979065050099,10.0,9.0,590409594949.102,2.66319953969133,56299.5057328064,63900.0,197867000000.0,202171000000.0,88.492
Switzerland,52.3362626810041,9.4,8.5,818426550206.45,2.56832817834069,93259.9057183024,95490.0,400693000000.0,357115000000.0,74.092
Ukraine,52.0549709130845,7.659,21.4,161989520721.19,-28.7585905937644,4575.97509765625,4280.0,44134000000.0,55294000000.0,69.919
United Kingdom,57.819826799311,10.0,9.1,3088839763445.02,4.34522883436574,45564.1569448013,48640.0,532982000000.0,823547000000.0,84.398
Bangladesh,47.0881905407013,17.48,5.296,460131688909.301,7.09982877575158,2687.89906307087,2820.0,54695000000.0,88234000000.0,39.711
Bhutan,39.6590160657265,12.332,6.356,2898227713.22315,5.21386783786224,3704.01839495326,3590.0,724000000.0,1511000000.0,43.686
India,47.4986163806902,16.267,9.074,3353470496885.95,6.98703932576051,2366.30960899931,2400.0,453415000000.0,720441000000.0,35.872
Maldives,35.9849940287658,13.638,2.777,6170638746.31376,13.9066763800888,11780.8169089988,10880.0,400000000.0,3516000000.0,41.536
Nepal,53.7786767733358,20.165,6.651,41182939600.67,5.63131455871746,1348.15718956035,1340.0,1296000000.0,13735000000.0,21.451
Pakistan,69.0309622184811,27.233,7.021,374787958882.308,4.767539530847,1589.26398049714,1570.0,30901000000.0,70781000000.0,37.731
Sri Lanka,52.3336525236489,13.781,7.287,74144875098.0587,-7.34676438378833,3342.72012524497,3620.0,13107000000.0,18291000000.0,19.026
Brunei Darussalam,39.3273837598987,13.493,5.431,16681536466.7183,-1.62833154515108,37152.4769749763,31410.0,14230000000.0,9184000000.0,78.854
Myanmar,45.8924541264276,16.833,8.749,62253049891.6449,4.0374934360085,1149.01896107058,1280.0,17085000000.0,17403000000.0,31.771
Cambodia,53.2672989490195,18.969,6.785,29504829319.3169,5.2398102893046,1759.60802346044,1690.0,22472000000.0,29805000000.0,25.114
Indonesia,47.1966069610567,16.196,9.59,1319076267310.16,5.30741934775764,4787.91236404903,4580.0,291979000000.0,237447000000.0,57.934
Lao PDR,54.0760042702293,21.46,6.195,15468785203.7532,2.70742652643155,2054.43078086496,2310.0,8198000000.0,7244000000.0,37.592
Malaysia,43.2159653407636,15.016,5.443,407027451714.616,8.65034422372288,11993.1876132994,11830.0,352094000000.0,293797000000.0,78.214
Philippines,55.6975588620567,21.618,5.568,404353369604.631,7.58098212785563,3499.10727950801,3950.0,78930000000.0,145867000000.0,47.977
Singapore,36.9053583775819,7.9,6.3,498474540987.78,3.83807678519807,88428.7024226232,66970.0,515802000000.0,475578000000.0,100.0
Thailand,44.3669982862303,8.806,7.487,495645210972.751,2.46276934050356,6913.05080521119,7240.0,287425000000.0,301030000000.0,52.889
Timor-Leste,66.4405345272382,24.611,6.535,3204753000.0,-20.5415867731785,2389.2958750343,1980.0,473000000.0,934000000.0,32.074
Viet Nam,46.000523709451,14.689,6.831,410324028883.325,8.12351446767343,4179.01179036963,4020.0,371288000000.0,359148000000.0,38.766
China,44.8623992981929,6.77,7.37,17881783387000.9,2.98908408613474,12662.5831692254,12890.0,3544434000000.0,2706507000000.0,63.56
"Hong Kong SAR, China",48.1772293094806,4.4,8.7,358696261481.16,-3.68075292201146,48828.1212454445,54000.0,609925000000.0,667554000000.0,100.0
Japan,71.0784642404208,6.3,12.9,4256410760723.75,0.954736937781391,34017.2718075024,42550.0,746835000000.0,897175000000.0,91.955
"Korea, Dem. People's Rep.",44.1178185966568,13.058,9.353,,,,,160000000.0,1430000000.0,62.916
"Korea, Rep.",40.969715388738,4.9,7.3,1673916511799.71,2.61267219187226,32394.6833725203,36160.0,683585000000.0,731370000000.0,81.427
"Macao SAR, China",38.5307334376214,10.044,4.256,24464719190.0616,-21.4019505820285,35192.5278350868,43940.0,1677000000.0,17338000000.0,100.0
Mongolia,58.9213405381139,20.447,5.479,17146471713.748,5.0327096366527,5045.50472602069,4260.0,12539000000.0,8704000000.0,68.93
Taiwan,,,,,,,,,,
Cyprus,44.4214029609268,10.023,6.971,29250532020.0746,5.05812800841309,32048.248046875,31520.0,4363000000.0,12205000000.0,66.911
Bahrain,31.4791032966405,11.454,2.476,44383297872.3404,4.89150020694356,30146.925026365,27710.0,30194000000.0,15537000000.0,89.743
"Iran, Islamic Rep.",45.324433441033,13.242,6.152,413394567603.552,3.77663140152906,4668.45744305826,3980.0,97853000000.0,58552000000.0,76.807
Iraq,69.8959977872649,27.035,4.433,286640340965.517,7.63981140220797,6441.91736451813,5440.0,138291000000.0,87216000000.0,71.354
Israel,66.984124321799,19.0,5.4,525002447652.773,6.83288663572093,54930.9388075096,55140.0,73585000000.0,107269000000.0,92.763
Jordan,56.0857698910015,21.616,3.957,48653381830.9859,2.42807330466898,4311.0000506816,4350.0,12780000000.0,27364000000.0,91.827
Kuwait,34.4917799751613,9.727,2.606,182809482400.924,6.13825278548057,42823.8278348699,40730.0,99985000000.0,34568000000.0,100.0
Lebanon,59.5774107871901,14.576,8.857,20992421948.8081,-0.621678970663112,3823.93806860546,4410.0,4370000000.0,19503000000.0,89.262
Oman,42.4207587146119,17.706,3.279,114667360208.062,4.31125350906991,25056.7948608378,20020.0,66063000000.0,38573000000.0,87.75
Qatar,20.9670006310643,9.091,1.08,235770403734.9,4.20887124812552,87480.4197119462,70070.0,130964000000.0,33479000000.0,99.318
Saudi Arabia,40.3646584502299,16.919,2.752,1108571466666.67,7.48598429134137,30447.8823171601,27500.0,411184000000.0,189877000000.0,84.729
Syrian Arab Republic,56.4829536292319,20.531,5.047,,,,,4356000000.0,6391000000.0,56.769
Turkiye,46.7745871476903,14.468,5.101,907118435952.688,5.53346926596379,10674.5041731531,10640.0,254170000000.0,363711000000.0,77.022
United Arab Emirates,20.5707062554404,9.888,1.865,507063968277.74,7.85041812278786,53707.9800813801,49160.0,515621000000.0,420493000000.0,87.543
"Yemen, Rep.",72.8891499874296,29.919,6.824,,,698.850349965249,,690000000.0,5289000000.0,39.188
Afghanistan,83.5703595136227,35.143,6.906,14502158192.0904,-6.24017199240269,352.603733092107,360.0,819000000.0,5529000000.0,26.616
Canada,52.9318720693484,9.0,8.6,2161483369422.01,3.81986633913397,55509.393176404,53300.0,599032000000.0,583549000000.0,81.752
United States,54.0536729377406,11.0,9.8,25744108000000.0,1.93549589483209,77246.6738828672,76590.0,2065157000000.0,3371751000000.0,83.084
Antigua and Barbuda,41.1738135389063,11.984,6.094,1867733333.33333,9.51639564359461,19919.7266867883,18710.0,22000000.0,820000000.0,24.346
"Bahamas, The",38.7997752032988,11.379,7.298,13136400000.0,10.7820132001503,32041.2503902591,31030.0,610000000.0,3758000000.0,83.492
Barbados,49.7039249872427,10.783,9.114,5840673700.0,13.4808615694709,20738.4511868198,20210.0,498000000.0,2151000000.0,31.324
Belize,48.8668003732029,17.763,6.253,2830507575.6841,8.73431143782066,6984.21695968163,6630.0,518000000.0,1381000000.0,46.396
Costa Rica,44.9598276428906,11.686,7.113,69243626028.5936,4.55149177958398,13365.3563992546,12920.0,16597000000.0,22685000000.0,82.042
Cuba,46.0483788085484,8.889,9.852,,1.77485399483382,,,2170000000.0,9833000000.0,77.401
Dominica,41.1491888535279,13.278,8.921,607159259.259259,5.58354626264079,8347.32336031537,8470.0,21000000.0,266000000.0,71.7
Dominican Republic,52.701107940421,18.111,6.068,113537368176.13,4.85832403582451,10111.2457110261,9070.0,13777000000.0,30743000000.0,83.848
El Salvador,50.68554590286,15.803,8.173,31988920000.0,2.79955216943868,5048.443972532,4670.0,7115000000.0,17108000000.0,74.767
Grenada,51.5885388343061,15.616,7.942,1224577777.77778,7.32074061551874,9762.4147210397,9350.0,37000000.0,589000000.0,36.868
Guatemala,59.5081954558888,20.861,6.767,95003330315.8754,4.11800416923388,5473.20856444589,5340.0,15695000000.0,32116000000.0,52.666
Haiti,57.7761898010766,23.146,8.48,20253551920.5516,-1.68198396897978,1748.25713539751,1610.0,1282000000.0,4622000000.0,58.82
Honduras,52.4149763419798,20.85,5.404,31426041806.7985,4.14356194013767,3012.21734086324,2710.0,12281000000.0,18321000000.0,59.6
Jamaica,37.5301095813649,11.531,8.787,17097760686.7775,5.22151985159613,6047.2164436428,5760.0,1901000000.0,7731000000.0,57.008
Nicaragua,53.8889426578984,20.018,4.655,15649934214.9276,3.75228475736668,2252.31020571776,2090.0,7360000000.0,11247000000.0,59.556
Panama,53.6170693182329,17.4,5.904,76522511780.6222,10.8093661181786,17357.6286293985,17050.0,15278000000.0,29249000000.0,69.141
St. Kitts and Nevis,42.0942783028713,11.823,10.078,981429629.62963,10.5228492759939,20593.609115757,20670.0,29000000.0,326000000.0,30.991
St. Lucia,37.4951264821228,11.316,10.151,2343703788.17323,18.07538,13030.9289500727,11500.0,79000000.0,834000000.0,19.05
St. Vincent and the Grenadines,48.7642218246869,12.726,14.004,966492592.592592,7.1598328657349,9297.84692916259,9440.0,46000000.0,438000000.0,53.875
Trinidad and Tobago,44.0121903615251,11.382,8.097,30053575132.142,1.48223484044745,19629.4653400829,16190.0,13286000000.0,6233000000.0,53.34
Mexico,48.876502167852,14.636,6.705,1463323889036.56,3.94899999903839,11476.6788057764,10810.0,577735000000.0,626324000000.0,81.3
Argentina,53.7791066729999,13.794,8.589,631133384439.944,4.95636996008236,13650.6046294524,11590.0,88445000000.0,81522000000.0,92.347
Bolivia,55.4663994527184,21.599,9.062,44008282879.8842,3.60568042633635,3600.12163502163,3490.0,13653000000.0,13049000000.0,70.83
Brazil,43.1598616294079,12.649,8.139,1951923942083.32,3.01669435393015,9065.49733395404,8240.0,334136000000.0,292245000000.0,87.555
Chile,45.6659660922997,11.755,7.199,302116539409.03,2.05874008095333,15411.1739539112,15430.0,98549000000.0,104529000000.0,87.912
Colombia,43.5584280511611,13.921,7.409,345329875078.512,7.2888838865514,6657.08669677355,6630.0,56999000000.0,77413000000.0,82.05
Ecuador,50.4246292928489,16.583,4.85,116586079000.0,6.18613907258741,6476.64457530137,6520.0,32658000000.0,33049000000.0,64.57
Guyana,53.5881341930093,19.897,9.762,14718388489.2086,63.4398643665041,18199.4748396968,14920.0,11299000000.0,3640000000.0,27.022
Paraguay,54.1443223599771,20.328,7.437,41952910858.0846,0.176038366132886,6187.0660296399,5900.0,9957000000.0,15853000000.0,62.818
Peru,52.4819889946528,17.376,7.505,246488757636.211,2.72550021563363,7239.11131130898,6810.0,62911000000.0,60979000000.0,78.708
Suriname,50.6870690579986,17.983,8.637,3620987993.32637,2.43372370900539,5858.82466074423,4970.0,2579000000.0,1803000000.0,66.307
Uruguay,53.0871298438578,10.419,9.879,70164683290.3776,4.70725761465232,20499.2422244452,17800.0,11184000000.0,12973000000.0,95.688
