country,Age dependency ratio (% of working-age population),GDP (current US$),GDP growth (annual %),GDP per capita (current US$),GNI per capita (current US$),Merchandise exports (current US$),Merchandise imports (current US$),Urban population (% of total)
Russian Federation,50.9059521624388,2021421476035.42,3.60000000000001,13817.0458984375,14250.0,423915000000.0,303786000000.0,75.331
Albania,49.5361120323341,22977677860.7979,3.43914949919611,8367.77573143421,7570.0,4324000000.0,8613000000.0,64.603
Andorra,38.827159423807,3727673593.01922,1.44418423106947,46544.7207199483,,252000000.0,1995000000.0,87.774
Austria,52.851083729323,516034144115.95,-0.828815088963225,56505.9682796867,55070.0,223549000000.0,224543000000.0,59.53
Belarus,52.1843582838712,71857382745.6066,3.88624214456901,7829.05313660622,7780.0,40168000000.0,43256000000.0,80.731
Belgium,57.3137657688442,632216577075.109,1.36505523054922,53475.2934952935,54530.0,562439000000.0,546765000000.0,98.189
Bosnia and Herzegovina,50.1321375801896,27054889362.8852,1.6762234691309,8426.09111019155,8160.0,9232000000.0,15355000000.0,50.269
Bulgaria,56.9222408283848,101584384672.786,1.84638956019879,15797.5955773596,14460.0,47854000000.0,53551000000.0,76.701
Croatia,58.0815564953255,82688842717.3926,3.06087128780983,21459.7847808036,20670.0,24894000000.0,43181000000.0,58.575
Czechia,57.6772636629502,330858339871.686,-0.311479452106369,30427.4234688601,27110.0,255450000000.0,230599000000.0,74.552
Denmark,57.8932402444963,404198757537.974,1.88961038591202,67967.3818685562,73360.0,136631000000.0,126653000000.0,88.495
Estonia,59.159436937383,40744848827.9537,-3.00559012612986,29823.7496069016,27240.0,19669000000.0,22963000000.0,69.81
Finland,62.6834982523421,300187202696.084,-1.03537569285423,53755.9117362796,53390.0,82355000000.0,82345000000.0,85.773
France,64.0451092942975,3030904089607.9,0.703718546620237,44460.8178457009,45070.0,648481000000.0,785884000000.0,81.777
Germany,58.0669347982222,4456081016705.96,-0.304934575740816,52745.7557064131,53970.0,1688419000000.0,1462602000000.0,77.765
Greece,58.096617307829,238206312632.528,2.01152094343999,22990.0135680461,22580.0,55047000000.0,88617000000.0,80.673
Holy See (Vatican City),,,,,,,,
Hungary,51.8060971777778,212388906458.724,-0.907685956140242,22147.2097290479,19820.0,160955000000.0,155966000000.0,72.864
Iceland,51.6207939290048,31020032583.1972,4.06379899045474,78811.0583922693,79840.0,6609000000.0,9464000000.0,94.042
